CustomerID,Lookalikes
C0001,"[('C0018', 0.7877263614433762), ('C0197', 0.7807200583588264), ('C0045', 0.7745966692414833)]"
C0002,"[('C0133', 0.8181818181818183), ('C0173', 0.7839294959021854), ('C0030', 0.6784005252999683)]"
C0003,"[('C0085', 0.7715167498104595), ('C0051', 0.756978119245116), ('C0046', 0.7446687115861396)]"
C0004,"[('C0118', 0.817629817532677), ('C0075', 0.7541997111515458), ('C0133', 0.7156264473321343)]"
C0005,"[('C0096', 0.7559289460184545), ('C0128', 0.7171371656006362), ('C0159', 0.7142857142857141)]"
C0006,"[('C0191', 0.7590721152765897), ('C0124', 0.681385143869247), ('C0171', 0.6744532734334623)]"
C0007,"[('C0181', 0.7833494518006403), ('C0001', 0.7378647873726218), ('C0045', 0.7348469228349536)]"
C0008,"[('C0057', 0.8486684247915053), ('C0075', 0.7759835936631705), ('C0143', 0.7720880321914481)]"
C0009,"[('C0156', 0.7777777777777779), ('C0181', 0.6963106238227914), ('C0093', 0.6943650748294136)]"
C0010,"[('C0092', 0.7302967433402217), ('C0145', 0.7302967433402214), ('C0058', 0.6708203932499369)]"
C0011,"[('C0084', 0.7087493078623419), ('C0177', 0.7006490497453707), ('C0182', 0.6900655593423543)]"
C0012,"[('C0136', 0.7994563370082249), ('C0076', 0.7759402897989853), ('C0195', 0.73156352095029)]"
C0013,"[('C0105', 0.7979249985750352), ('C0028', 0.7807200583588264), ('C0040', 0.7715167498104596)]"
C0014,"[('C0128', 0.9128709291752771), ('C0005', 0.6546536707079772), ('C0159', 0.6546536707079772)]"
C0015,"[('C0060', 0.7071067811865475), ('C0103', 0.6681531047810609), ('C0182', 0.6681531047810609)]"
C0016,"[('C0184', 0.8696263565463043), ('C0066', 0.7905694150420948), ('C0102', 0.7778174593052023)]"
C0017,"[('C0158', 0.7724872793364282), ('C0164', 0.7724872793364281), ('C0037', 0.7398300378117159)]"
C0018,"[('C0114', 0.8461538461538463), ('C0161', 0.7970167702187486), ('C0001', 0.7877263614433762)]"
C0019,"[('C0171', 0.8207826816681232), ('C0191', 0.7505553499465134), ('C0027', 0.7416198487095663)]"
C0020,"[('C0026', 0.7559289460184544), ('C0044', 0.7499999999999998), ('C0050', 0.7499999999999998)]"
